EXPERIMENT,gf,mf,σ,T,foram,SYSTEM,%foram,,,,min %,max %,"Here you can find the model output for the carnivorous non-spinose with σ= 0.5, 0.6, 0.8 and 1 with optimum predator -prey length ratio 10:1"
other,20,60,0.5,30,0.020612771,MESO,5.50E+00,,,,,,
other,20,0,0.5,30,DEAD,MESO,DEAD,,,,,,
other,20,20,0.5,30,0.006961199,MESO,1.86E+00,,,,,,
other,20,25,0.5,30,0.010634811,MESO,2.30E+00,,,,,,
other,20,30,0.5,30,0.013269632,MESO,3.50E+00,,,,,,
other,20,10,0.5,30,DEAD,MESO,DEAD,,,,,,
other,30,15,0.5,30,DEAD,MESO,DEAD,,,,,,
other,20,15,0.5,30,7.91E-05,MESO,2.15E-02,,,,,,
other,30,32,0.5,30,0.00011807,MESO,3.21E-02,,,,,,
other,40,48,0.5,30,8.09E-05,MESO,2.18E-02,,,,,,
other,50,58,0.5,30,8.56E-05,MESO,2.31E-02,,,,,,
other,30,30,0.5,30,2.75E-06,MESO,7.49E-04,,,,,,
other,30,20,0.5,30,DEAD,MESO,DEAD,,,,,,
other,30,35,0.5,30,0.004909475,MESO,1.80E+00,,,,,,
other,30,40,0.5,30,0.010315489,MESO,2.70E+00,,,,,,
other,30,45,0.5,30,0.012521927,MESO,3.30E+00,,,,,,
other,40,55,0.5,30,0.0089174,MESO,2.40E+00,,,,,,
other,40,60,0.5,30,0.012240229,MESO,3.30E+00,,,,,,
other,40,57,0.5,30,0.010798921,MESO,3.30E+00,,,,,,
other,40,45,0.5,30,DEAD,MESO,DEAD,,,,,,
other,40,50,0.5,30,0.000956737,MESO,2.59E-01,,,,,,
other,40,40,0.5,30,DEAD,MESO,DEAD,,,,,,
other,40,37,0.5,30,DEAD,MESO,DEAD,,,,,,
other,50,50,0.5,30,DEAD,MESO,DEAD,,,,,,
other,50,55,0.5,30,DEAD,MESO,DEAD,,,,,,
other,50,70,0.5,30,0.008121476,MESO,2.10E+00,,,,,,
other,50,65,0.5,30,DEAD,MESO,DEAD,,,,,,
other,50,80,0.5,30,0.013882319,MESO,3.70E+00,,,,,,
other,50,70,0.5,30,8.00E-03,MESO,2.11E+00,,,,,,
other,50,75,0.5,30,0.011769314,MESO,1.90E+00,,,,,,
,,,,,,,,,,,,,
other,20,50,0.5,30,0.014091866,EUTRO,3.00E+00,,,,,,
other,20,60,0.5,30,0.015019575,EUTRO,3.00E+00,,,,,,
other,20,20,0.5,30,0.009453658,EUTRO,2.10E+00,,,,,,
other,20,25,0.5,30,0.010870224,EUTRO,2.80E+00,,,,,,
other,20,30,0.5,30,0.011770435,EUTRO,2.50E+00,,,,,,
other,20,10,0.5,30,0.006134081,EUTRO,1.30E+00,,,,,,
other,20,15,0.5,30,0.007872298,EUTRO,1.66E+00,,,,,,
other,30,15,0.5,30,DEAD,EUTRO,DEAD,,,,,,
other,30,30,0.5,30,0.006868259,EUTRO,1.50E+00,,,,,,
other,30,20,0.5,30,0.001089216,EUTRO,2.30E-01,,,,,,
other,30,35,0.5,30,0.008390985,EUTRO,1.30E+00,,,,,,
other,30,32,0.5,30,0.008390985,EUTRO,1.30E+00,,,,,,
other,30,40,0.5,30,0.009828169,EUTRO,2.00E+00,,,,,,
other,30,45,0.5,30,0.011139817,EUTRO,2.40E+00,,,,,,
other,40,55,0.5,30,0.0088419,EUTRO,1.80E+00,,,,,,
other,40,60,0.5,30,0.010065447,EUTRO,2.10E+00,,,,,,
other,40,57,0.5,30,0.009340501,EUTRO,2.10E+00,,,,,,
other,40,45,0.5,30,5.90E-03,EUTRO,1.20E+00,,,,,,
other,40,50,0.5,30,0.007506085,EUTRO,1.57E+00,,,,,,
other,40,40,0.5,30,0.002801506,EUTRO,6.00E-01,,,,,,
other,40,48,0.5,30,0.006905021,EUTRO,1.44E+00,,,,,,
other,50,50,0.5,30,DEAD,EUTRO,DEAD,,,,,,
other,50,70,0.5,30,0.008068811,EUTRO,1.80E+00,,,,,,
other,50,65,0.5,30,0.006566922,EUTRO,1.40E+00,,,,,,
other,50,80,0.5,30,0.010367497,EUTRO,2.10E+00,,,,,,
other,50,70,0.5,30,0.008068811,EUTRO,2.10E+00,,,,,,
other,50,75,0.5,30,0.009299225,EUTRO,3.10E+00,,,,,,
,,,,,,,,,,,,,
other,0,0,1,10,DEAD,MESO,DEAD,,,,,,
other,20,20,1,10,DEAD,MESO,DEAD,,,,,,
other,20,50,1,10,DEAD,MESO,DEAD,,,,,,
other,50,50,1,10,DEAD,MESO,DEAD,,,,,,
other,50,90,1,10,DEAD,MESO,DEAD,,,,,,
other,80,90,1,10,DEAD,MESO,DEAD,,,,,,
,,,,,,,,,,,,,
other,0,0,1,10,DEAD,EUTRO,DEAD,,,,,,
other,20,20,1,10,DEAD,EUTRO,DEAD,,,,,,
other,20,50,1,10,DEAD,EUTRO,DEAD,,,,,,
other,50,50,1,10,DEAD,EUTRO,DEAD,,,,,,
other,50,90,1,10,DEAD,EUTRO,DEAD,,,,,,
other,80,90,1,10,DEAD,EUTRO,DEAD,,,,,,
other,80,60,1,10,DEAD,EUTRO,DEAD,,,,,,
,,,,,,,,,,,,,
plausible,15,55,0.6,20,3.00E-05,EUTRO,1.11E-02,,,,,,
plausible,20,60,0.6,20,0.00001,EUTRO,4.42E-03,,,,,,
plausible,40,20,0.6,30,9.11E-06,MESO,2.46E-03,,,,,,
plausible,40,30,0.6,30,6.17E-06,OLIGO,2.44E-03,,,,,,
plausible,50,50,0.6,30,1.15E-05,OLIGO,4.55E-03,,,,,,
,,,,,,,,,,,,,
low_biomass,30,10,0.6,30,2.95E-06,OLIGO,1.17E-03,,,,,,
low_biomass,30,70,0.6,20,2.00E-05,MESO,7.92E-03,,,,,,
low_biomass,25,65,0.6,20,0.000004,EUTRO,1.69E-03,,,,,,
