EXPERIMENT,gf,mf,σ,T,foram,grazing pressure on them,SYSTEM,%foram,,min,max
other,70,10,0.5,30,9.06E-04,Yes = 1,OLIGO,3.60E-01,,,
other,70,5,0.5,30,8.07E-08,Yes = 1,OLIGO,3.19E-05,,,
other,80,0,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,75,0,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,80,20,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,80,15,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,70,7,0.5,,DEAD,Yes = 1,oligo,DEAD,,,
other,80,17,0.5,,DEAD,Yes = 1,oligo,DEAD,,,
,,,,,,,,,,,
,,,,,,,,,,,
other,30,0,0.5,30,2.34E-02,Yes = 1,MESO,6.50E+00,,,
other,50,0,0.5,30,2.36E-02,Yes = 1,MESO,6.58E+00,,,
other,70,0,0.5,30,1.60E-02,Yes = 1,MESO,4.41E+00,,,
other,70,10,0.5,30,1.81E-02,Yes = 1,MESO,5.01E+00,,,
other,70,5,0.5,30,1.70E-02,Yes = 1,MESO,4.70E+00,,,
other,80,0,0.5,30,DEAD,Yes = 1,MESO,DEAD,,,
other,75,0,0.5,30,9.01E-03,Yes = 1,MESO,5.74E+00,,,
other,80,15,0.5,30,1.02E-07,Yes = 1,MESO,2.78E-05,,,
other,80,55,0.5,30,2.02E-02,Yes = 1,MESO,5.42E+00,,,
other,70,7,0.5,30,0.01745862,Yes = 1,MESO,5.00E+00,,,
other,80,19,0.5,30,0.000279955,,meso,2.57E-02,,,
,,,,,,,,,,,
,,,,,,,,,,,
other,80,19,0.5,30,9.46E-05,,eutro,5.90E-02,,,
other,30,0,0.5,30,2.30E-02,Yes = 1,EUTRO,5.01E+00,,,
other,50,0,0.5,30,2.12E-02,Yes = 1,EUTRO,4.55E+00,,,
other,70,0,0.5,30,1.34E-02,Yes = 1,EUTRO,2.81E+00,,,
other,70,10,0.5,30,1.45E-02,Yes = 1,EUTRO,3.05E+00,,,
other,70,5,0.5,30,1.40E-02,Yes = 1,EUTRO,2.93E+00,,,
other,80,0,0.5,30,DEAD,Yes = 1,EUTRO,DEAD,,,
other,75,0,0.5,30,6.93E-03,Yes = 1,EUTRO,1.45E+00,,,
other,80,15,0.5,30,4.36E-07,Yes = 1,EUTRO,9.19E-05,,,
other,80,55,0.5,30,1.18E-02,Yes = 1,EUTRO,2.46E+00,,,
other,70,7,0.5,,0.01419887,Yes = 1,EUTRO,3.00E+00,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
